app	total	last_used	y2026	y2025
PhyloSeqAnalysisApp	20	2022-11-24 15:15:15.000000	0	0
CellRangerATACApp	20	2026-04-28 12:43:37.263402	3	4
SCDifferentialStateApp	20	2022-01-18 16:42:27.000000	0	0
ScSeuratLabelClustersApp	19	2025-06-05 23:13:16.513330	0	2
DiffPeakAnalysisApp	19	2026-07-31 17:05:38.038237	16	3
BrackenApp	19	2026-07-18 08:57:15.487001	19	0
DiffShotMaAsLin3App	19	2026-07-23 09:37:55.844056	19	0
HGAPApp	18	2019-05-17 12:14:03.000000	0	0
CombinePeaksApp	18	2026-01-29 13:56:20.174324	18	0
DADA2Step1SampleApp	17	2024-02-16 08:26:16.000000	0	0
NfCoreCutNRunApp	17	2025-12-03 14:43:12.473352	0	17
SCScranApp	16	2020-02-28 12:14:27.000000	0	0
GatkJoinGenoTypesRNASeqApp	16	2026-08-03 15:06:01.399297	14	2
AtacQcApp	15	2019-12-20 08:46:56.000000	0	0
ScSeuratCombinedLabelClusters	14	2026-01-19 21:55:30.027438	1	8
Minimap2App	14	2025-08-29 14:48:01.487600	0	5
MergeReadDatasets	14	2026-07-30 13:16:47.354648	12	2
GatkRnaApp	13	2018-10-26 14:57:31.000000	0	0
GATKv4GenerateTranscriptsFromVCFApp	13	2020-06-03 08:17:05.000000	0	0
SpatialSeuratSlidesApp	13	2024-07-22 09:07:06.000000	0	0
PostSamsa2AnalysisApp	13	2024-12-05 09:45:09.140585	0	0
EzPyzBin2CellApp	13	2025-12-08 21:15:32.317732	0	13
CNVnatorApp	12	2023-04-13 20:10:46.000000	0	0
MothurStep1SampleApp	12	2020-05-10 07:40:31.000000	0	0
ScSeuratFilterClustersApp	12	2026-01-30 10:54:59.997255	3	3
TophatApp	11	2020-01-31 07:05:10.000000	0	0
QIIME2App	11	2026-07-02 15:35:54.753169	4	0
EzPyzAnndataReportApp	11	2025-08-07 10:15:17.750400	0	11
XeniumSeuratApp	11	2026-06-06 13:43:48.296390	11	0
ReseqApp	10	2019-05-02 14:18:06.000000	0	0
SubreadsApp	10	2019-05-02 05:28:57.000000	0	0
GATKv4GVCF2FilteredVCFApp	9	2020-03-15 17:39:43.000000	0	0
Samsa2App	9	2024-12-04 16:50:47.020428	0	0
FastpApp	9	2020-10-31 06:07:32.000000	0	0
SpatialSeuratCompareApp	9	2021-10-14 07:27:04.000000	0	0
SeuratCompareApp	9	2023-05-23 20:53:51.000000	0	0
ProdigalApp	9	2024-12-16 12:32:22.260037	0	0
DmrseqApp	9	2025-02-08 07:43:53.281630	0	4
DiffMethylationApp	9	2025-09-13 10:17:56.913688	0	9
SeuratXeniumApp	9	2026-01-09 18:08:41.389772	9	0
PreqcApp	8	2025-07-03 13:12:13.339524	0	1
ProkkaApp	8	2025-06-20 08:50:48.529867	0	2
HUMAnNApp	8	2026-07-18 09:25:30.334294	8	0
SingleCellCountsApp	7	2018-08-19 21:41:58.000000	0	0
MothurApp	7	2023-03-22 16:00:00.000000	0	0
Pbmm2App	7	2025-10-16 20:52:22.074179	0	5
PbsvApp	7	2025-09-18 16:37:52.449175	0	3
BamBoozleApp	7	2026-01-20 15:55:39.323757	1	6
ScMultiOmicsApp	7	2026-07-12 17:00:31.342929	7	0
ReadClassifyApp	6	2018-03-26 06:47:51.000000	0	0
DiscovarDenovoApp	6	2018-03-28 12:12:42.000000	0	0
SGSeqApp	6	2021-10-21 07:47:51.000000	0	0
BWATrimmomaticApp	6	2020-03-24 07:54:55.000000	0	0
SCMergeLargeDatasetsApp	6	2021-01-28 09:59:59.000000	0	0
SpaceRangerSegQCApp	6	2025-08-04 09:38:11.649280	0	6
DellyApp	6	2026-02-19 16:07:43.167978	1	5
NfCoreSmRnaSeqApp	6	2025-12-12 15:27:08.461143	0	6
MetaPhlAnApp	6	2026-07-06 14:58:14.841921	6	0
ConvRCDSApp	5	2017-11-02 14:35:44.000000	0	0
MergeRunDataSetsApp	5	2025-11-11 14:18:33.793351	0	5
TranscriptCoverageApp	4	2019-09-10 14:20:02.000000	0	0
MegahitApp	4	2021-05-25 13:28:01.000000	0	0
DADA2Step2DatasetApp	4	2019-04-01 13:54:14.000000	0	0
ScSCEApp	4	2022-03-29 06:35:39.000000	0	0
SubSampleReadsApp	4	2022-05-09 07:05:59.000000	0	0
VcfStatsApp	4	2022-11-17 13:17:58.000000	0	0
SpaceRangerAggrApp	4	2025-02-24 19:21:14.204977	0	1
PsortbApp	4	2025-01-06 11:03:50.543417	0	1
SpaceRangerDevApp	4	2025-10-22 09:21:15.634366	0	4
DiffShotALDExApp	4	2026-07-02 19:16:53.927371	4	0
DiffShotANCOMBCApp	4	2026-07-02 19:18:40.832957	4	0
ScaterApp	3	2017-11-20 10:44:58.000000	0	0
SalmonApp	3	2019-11-28 09:10:36.000000	0	0
SGSeqBasedDEXSeqApp	3	2020-09-30 12:28:52.000000	0	0
KmergenieApp	3	2023-05-12 08:17:27.000000	0	0
CellRangerATACAggrApp	3	2021-11-22 08:38:36.000000	0	0
SCLabelClustersApp	3	2023-09-29 07:11:08.000000	0	0
SCOneSampleSCEApp	3	2022-02-18 15:53:33.000000	0	0
ScSCECompareApp	3	2022-08-04 09:07:05.000000	0	0
HifiasmApp	3	2025-06-18 15:44:25.003752	0	3
DIANNApp	3	2026-06-15 15:37:10.103030	3	0
CustomAnalysis	3	2026-05-26 11:53:48.000000	3	0
DiffShotLEfSeApp	3	2026-07-02 19:19:54.111775	3	0
MetaspadesApp	2	2020-09-24 07:09:33.000000	0	0
MetagenomeAnnotationQCApp	2	2019-12-09 14:03:37.000000	0	0
MetatranscriptomicsAnalysisApp	2	2022-09-07 13:52:58.000000	0	0
WordCountApp	2	2021-12-07 14:48:46.000000	0	0
SCOneSampleSeuratApp	2	2022-02-17 10:54:02.000000	0	0
UnicyclerApp	2	2024-03-26 08:52:52.000000	0	0
GATKJointGenotypingByGenomicsDBApp	2	2024-11-25 14:31:35.611754	0	0
AtacSeqApp	2	2026-07-13 15:02:52.270497	2	0
TargetedSeqQCApp	2	2026-07-14 16:02:27.896525	2	0
ChIPSeqPeakComparisonApp	2	2026-07-31 10:36:05.344503	2	0
SplitPipeApp	2	2026-08-08 15:10:42.217626	2	0
STARFeatureCountsApp	1	2017-09-18 09:32:57.000000	0	0
HomeoRoqApp	1	2017-11-03 05:50:45.000000	0	0
UparseApp	1	2018-12-07 09:00:44.000000	0	0
MetaquastApp	1	2019-12-08 09:03:45.000000	0	0
BeagleApp	1	2019-12-17 15:47:16.000000	0	0
InlineBarcodeDmxApp	1	2021-09-15 13:48:48.000000	0	0
ScSCECombineApp	1	2022-02-21 08:19:11.000000	0	0
GceApp	1	2023-05-12 08:18:01.000000	0	0
MetaQuastApp	1	2023-05-16 07:30:22.000000	0	0
ONTwfScApp	1	2023-06-20 15:17:35.000000	0	0
BeeNetApp	1	2023-08-03 20:53:35.000000	0	0
SplitAndClusterApp	1	2023-09-25 09:58:15.000000	0	0
FastqctestingApp	1	2025-09-26 16:56:23.252017	0	1
SCEVANApp	1	2025-10-24 14:57:57.342566	0	1
NfCoreCutandrunApp	1	2026-05-15 17:05:46.079091	1	0
NfCoreAlleleexpressionApp	1	2026-06-16 16:19:55.069186	1	0
